Movie,Language,Emoji,Plot Hint,Famous Quote
Titanic,English,🚢❄️❤️,A love story aboard a doomed ship.,I'm the king of the world!
Avatar,English,🌍👽🌳,Humans invade another planet.,I see you.
Frozen,English,❄️👸⛄,Two sisters save their kingdom.,Let it go.
Interstellar,English,🚀🌌⏳,A father travels through space to save humanity.,Love is the one thing...
Bahubali,Telugu,👑⚔️🐘,Prince fights to reclaim his kingdom.,Mahishmati...
Avengers: Endgame,English,🦸‍♂️💎⌛🌍⚔️,The world's greatest heroes try to undo a devastating event using time travel.,I am Iron Man.
The Matrix,English,🕶️💊💻🐇,A hacker discovers reality is a simulation.,There is no spoon.
The Lion King,English,🦁👑🌅🐒,A young prince is exiled and must return to claim his throne.,Hakuna Matata.
Harry Potter,English,⚡👓🧙‍♂️🦉,A young boy discovers he is a wizard.,You're a wizard Harry.
Jurassic Park,English,🦖🦕🏝️🚙,Scientists clone dinosaurs for a theme park and things go wrong.,Life finds a way.
Inception,English,💤🌀🏙️🕴️,Thieves steal secrets from people's dreams.,You mustn't be afraid to dream a little bigger darling.
Forrest Gump,English,🍫🏃‍♂️🏓🪖,A slow-witted man with a good heart witnesses key historical events.,Life is like a box of chocolates.
Star Wars,English,🌌⚔️🤖👽,A farm boy joins a rebellion against an evil empire.,May the Force be with you.
Spider-Man,English,🕷️🕸️🏙️🦸‍♂️,A teenager gets bitten by a radioactive bug.,With great power comes great responsibility.
Finding Nemo,English,🐠🌊🦈🔍,A father searches the ocean for his lost son.,Just keep swimming.
The Dark Knight,English,🦇🤡🏙️🃏,A vigilante fights a chaotic criminal mastermind.,Why so serious?
Sholay,Hindi,🪙🚂🐎🔫,A retired police officer recruits two thieves to catch a notorious bandit.,Kitne aadmi the?
KGF: Chapter 1,Kannada,⛏️🥇🏍️🔫,An assassin journeys to rule the treacherous gold mines.,Violence Violence Violence!
RRR,Telugu,🐅🔥🌊🏹,Two fierce revolutionaries fight against British rule in the 1920s.,Load Aim Shoot!
Dangal,Hindi,🤼‍♂️🥇👨‍👧‍👧,A former wrestler trains his daughters to win gold for India.,Mhari chhoriyan chhoron se kam hain ke?
3 Idiots,Hindi,🎓📸🛠️😂,Three friends navigate engineering college and search for a lost buddy.,All is well.
Pushpa: The Rise,Telugu,🪵🪓🕶️🔥,A fierce laborer rises through the ranks of a sandalwood smuggling syndicate.,Main jhukega nahi.
Zindagi Na Milegi Dobara,Hindi,🚗💃🤿🍅,Three friends go on a bachelor trip to Spain and face their deepest fears.,Seize the day my friend.
Kantara,Kannada,🌲🔥🐗🕺,A village champion clashes with a strict forest officer over local traditions.,Varaha Roopam...
Chennai Express,Hindi,🚂👰🏃‍♂️🛤️,A man boards the wrong train and gets entangled with a local mafia daughter.,Don't underestimate the power of a common man.
Lagaan,Hindi,🏏🌧️🇬🇧🌾,Desperate villagers play a cricket match against British officers to cancel their taxes.,Teen guna lagaan dena padega.
Magadheera,Telugu,🐎⚔️🦅❤️,A warrior reincarnates to save his princess 400 years later.,Hundred men? Let them come!
Pokiri,Telugu,🔫😎🏃‍♂️🚔,An undercover cop infiltrates a ruthless mafia gang.,Evadu kodithe dimma tirigi mind block aipothundo...
Eega,Telugu,🪰😡🔥🏗️,A murdered man reincarnates as a housefly to protect his love and get revenge.,I will kill you!
Arjun Reddy,Telugu,🩺💔🥃🏍️,A brilliant surgeon goes on a self-destructive path after a heartbreak.,I am not a rebel without a cause.
Ala Vaikunthapurramuloo,Telugu,🏢🧑‍💼🦵🎵,A swapped son discovers his true wealthy heritage and fixes his real family.,Madam sir madam anthe!
Rangasthalam,Telugu,🌾👂🐍🧔,A partially deaf man fights a corrupt village president to avenge his brother.,Sound engineer...
